,品种/合约,日期,名次,会员简称,成交量（手）,增减量,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
209,菜粕RM,2021-01-29,20,申银万国,22713,4235,广发期货,7831,-234,银河期货,5700,416
210,菜籽RS,2021-01-29,1,东证期货,2,2,广州金控,9,-1,国投安信期货,4,0
211,菜籽RS,2021-01-29,2,华泰期货,1,1,兴业期货,3,0,银河期货,3,0
212,菜籽RS,2021-01-29,3,中原期货,1,-1,广发期货,2,0,中粮期货,2,0
213,菜籽RS,2021-01-29,4,山西三立,1,1,新纪元期货,1,0,海通期货,2,0
214,菜籽RS,2021-01-29,5,广州金控,1,0,中信期货,1,0,财信期货,2,0
215,菜籽RS,2021-01-29,6,新纪元期货,0,0,光大期货,1,0,华泰期货,1,-1
216,菜籽RS,2021-01-29,7,国投安信期货,0,0,东方财富,1,0,中原期货,1,1
217,菜籽RS,2021-01-29,8,银河期货,0,0,华泰期货,0,0,光大期货,1,0
218,菜籽RS,2021-01-29,9,中信期货,0,0,国投安信期货,0,0,浙商期货,1,0
219,菜籽RS,2021-01-29,10,中粮期货,0,0,银河期货,0,0,永安期货,1,0
220,菜籽RS,2021-01-29,11,海通期货,0,0,中粮期货,0,0,新纪元期货,0,0
221,菜籽RS,2021-01-29,12,兴业期货,0,0,海通期货,0,0,中信期货,0,0
222,菜籽RS,2021-01-29,13,光大期货,0,0,中原期货,0,0,兴业期货,0,0
223,菜籽RS,2021-01-29,14,浙商期货,0,0,东证期货,0,0,东证期货,0,0
224,菜籽RS,2021-01-29,15,和合期货,0,-2,浙商期货,0,0,山西三立,0,-1
225,菜籽RS,2021-01-29,16,广发期货,0,0,山西三立,0,0,和合期货,0,0
226,菜籽RS,2021-01-29,17,永安期货,0,0,和合期货,0,0,广发期货,0,0
227,菜籽RS,2021-01-29,18,财信期货,0,-1,永安期货,0,0,广州金控,0,0
228,菜籽RS,2021-01-29,19,东方财富,0,0,财信期货,0,0,东方财富,0,0
229,纯碱SA,2021-01-29,1,海通期货,79863,-7492,中信期货,11314,3793,永安期货,21688,3171
230,纯碱SA,2021-01-29,2,中信建投,47685,-22841,国泰君安,10050,-1911,中粮期货,10663,1925
231,纯碱SA,2021-01-29,3,东证期货,31242,-2273,徽商期货,9629,599,中信期货,10549,-1795
232,纯碱SA,2021-01-29,4,新湖期货,27142,2459,永安期货,8093,1461,徽商期货,8742,-1181
233,纯碱SA,2021-01-29,5,徽商期货,26000,-6649,兴证期货,7876,-140,国泰君安,8206,71
234,纯碱SA,2021-01-29,6,中信期货,26000,5946,东证期货,7186,-3983,银河期货,7840,2501
235,纯碱SA,2021-01-29,7,银河期货,25969,2444,银河期货,7139,824,大有期货,7762,-62
236,纯碱SA,2021-01-29,8,广发期货,24886,-2266,方正中期,6832,309,方正中期,7220,-486
237,纯碱SA,2021-01-29,9,国泰君安,24476,217,海通期货,6584,-119,瑞达期货,6942,821
238,纯碱SA,2021-01-29,10,光大期货,24226,-12652,新湖期货,6330,785,上海大陆,6553,1117
239,纯碱SA,2021-01-29,11,华泰期货,20273,-2055,瑞达期货,5865,1175,兴证期货,5365,-201
240,纯碱SA,2021-01-29,12,东吴期货,17850,-4146,混沌天成期货,5651,-36,平安期货,5209,107
241,纯碱SA,2021-01-29,13,永安期货,17708,2482,大有期货,5275,279,五矿经易期货,5027,407
242,纯碱SA,2021-01-29,14,华安期货,17314,-3489,五矿经易期货,5253,-36,华安期货,4675,-73
243,纯碱SA,2021-01-29,15,方正中期,15825,-1113,中信建投,5101,95,新湖期货,4416,1009
244,纯碱SA,2021-01-29,16,兴证期货,12589,-4524,华泰期货,5098,-156,国富期货,3980,1075
245,纯碱SA,2021-01-29,17,东方财富,12325,230,平安期货,4823,215,光大期货,3878,-7560
246,纯碱SA,2021-01-29,18,中粮期货,12039,-3841,天风期货,4182,101,宏源期货,3860,-111
247,纯碱SA,2021-01-29,19,宏源期货,11216,1388,招商期货,4114,-388,招商期货,3826,-576
248,纯碱SA,2021-01-29,20,鲁证期货,10306,3538,东吴期货,4009,151,广发期货,3604,-292
249,硅铁SF,2021-01-29,1,中信期货,115698,23310,中信期货,15848,1152,中信期货,18850,-986
250,硅铁SF,2021-01-29,2,东证期货,47363,15581,银河期货,8528,-2172,五矿经易期货,12064,469
251,硅铁SF,2021-01-29,3,徽商期货,29056,7786,一德期货,6535,-4559,东证期货,9534,2683
252,硅铁SF,2021-01-29,4,光大期货,21864,5802,五矿经易期货,6376,-1286,银河期货,7104,-2158
253,硅铁SF,2021-01-29,5,广发期货,21059,15312,永安期货,5868,-343,永安期货,6602,-36
254,硅铁SF,2021-01-29,6,东方财富,21008,4832,华融融达期货,5775,2685,华融融达期货,6046,-398
255,硅铁SF,2021-01-29,7,东吴期货,18513,2755,国投安信期货,5594,-2817,光大期货,5350,1089
256,硅铁SF,2021-01-29,8,申银万国,18150,5517,美尔雅,5426,58,国泰君安,5032,1153
257,硅铁SF,2021-01-29,9,华闻期货,18074,-2356,国泰君安,5232,-1214,华泰期货,4949,-159
258,硅铁SF,2021-01-29,10,美尔雅,17869,7058,东证期货,5002,-6378,新湖期货,4065,240
259,硅铁SF,2021-01-29,11,银河期货,17390,7013,海通期货,4222,-632,中粮期货,4015,-2161
260,硅铁SF,2021-01-29,12,华泰期货,17083,2476,光大期货,4121,483,海通期货,3429,208
261,硅铁SF,2021-01-29,13,海通期货,16096,253,中原期货,4049,-943,华闻期货,3164,1431
262,硅铁SF,2021-01-29,14,新湖期货,14681,1380,新湖期货,3530,-363,浙商期货,2997,-1058
263,硅铁SF,2021-01-29,15,国泰君安,13647,-2429,华泰期货,3394,-1396,首创期货,2502,55
264,硅铁SF,2021-01-29,16,国投安信期货,13547,7697,华闻期货,3274,1401,东海期货,2464,1649
265,硅铁SF,2021-01-29,17,中粮期货,12822,1796,徽商期货,3218,412,中信建投,2255,509
266,硅铁SF,2021-01-29,18,永安期货,12217,1793,海证期货,3198,1331,东吴期货,2135,-207
267,硅铁SF,2021-01-29,19,创元期货,12133,2129,建信期货,3151,-56,南华期货,1945,407
268,硅铁SF,2021-01-29,20,一德期货,12112,6394,申银万国,3016,-40,大有期货,1932,-752
