,品种/合约,日期,名次,会员简称,成交量（手）,增减量,会员简称,持买仓量,增减量,会员简称,持卖仓量,增减量
249,纯碱SA,2021-12-01,11,方正中期,47325,19611,海通期货,10262,2321,宝城期货,8740,2858
250,纯碱SA,2021-12-01,12,新湖期货,47102,14878,广发期货,9130,-1732,海通期货,8643,-792
251,纯碱SA,2021-12-01,13,徽商期货,45140,14349,大地期货,8193,1126,中粮期货,7871,515
252,纯碱SA,2021-12-01,14,华安期货,45135,15014,银河期货,8152,-2127,广发期货,7093,-239
253,纯碱SA,2021-12-01,15,冠通期货,44219,20630,东兴期货,7813,-896,中信建投,7056,-216
254,纯碱SA,2021-12-01,16,中信建投,43784,17019,大越期货,7757,475,新湖期货,6969,265
255,纯碱SA,2021-12-01,17,中辉期货,37753,14071,天风期货,7023,-2780,徽商期货,6305,1416
256,纯碱SA,2021-12-01,18,国信期货,34922,19630,宏源期货,6946,520,兴证期货,6053,535
257,纯碱SA,2021-12-01,19,申银万国,32379,13436,东吴期货,6526,1508,东方财富,5613,2062
258,纯碱SA,2021-12-01,20,广发期货,32257,14172,东海期货,6287,951,申银万国,5363,384
259,硅铁SF,2021-12-01,1,中信期货,44924,11344,中信期货,8816,2017,银河期货,11926,669
260,硅铁SF,2021-12-01,2,华闻期货,23554,4321,国投安信期货,8411,103,国投安信期货,8846,33
261,硅铁SF,2021-12-01,3,东证期货,20531,6198,华闻期货,5978,36,中信期货,7820,2105
262,硅铁SF,2021-12-01,4,光大期货,17647,2107,东吴期货,5240,433,华闻期货,5939,28
263,硅铁SF,2021-12-01,5,海通期货,17146,3250,银河期货,4451,53,东吴期货,4918,201
264,硅铁SF,2021-12-01,6,银河期货,14162,5026,永安期货,4188,236,东证期货,4562,-381
265,硅铁SF,2021-12-01,7,东方财富,11622,130,东证期货,3801,-216,海通期货,4118,673
266,硅铁SF,2021-12-01,8,华泰期货,11258,4534,中辉期货,3469,-144,五矿期货,3788,780
267,硅铁SF,2021-12-01,9,徽商期货,10870,2788,海通期货,3335,595,光大期货,3756,688
